GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
encurso,com.encurso.domain,User,0,86,0,0,0,29,0,15,0,15
encurso,com.encurso.domain,Course,0,56,0,0,0,20,0,11,0,11
encurso,com.encurso.domain,Enrollment,0,43,0,0,0,18,0,9,0,9
encurso,com.encurso.domain,UserLoginRequest,0,17,0,0,0,7,0,5,0,5
encurso,com.encurso.service,UserService,0,45,0,10,0,12,0,9,0,4
encurso,com.encurso.service,EnrollmentService,0,24,0,4,0,8,0,5,0,3
encurso,com.encurso.service,CourseService,0,50,0,12,0,12,0,9,0,3
encurso,com.encurso.exception,CourseAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
encurso,com.encurso.exception,EnrollmentAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
encurso,com.encurso.exception,UserNotFoundException,0,5,0,0,0,2,0,1,0,1
encurso,com.encurso.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
encurso,com.encurso.exception,UserAlreadyExistsException,0,5,0,0,0,2,0,1,0,1
